Ghi,Ghi90,Ghi10,Ebh,Dni,Dni10,Dni90,Dhi,air_temp,Zenith,Azimuth,cloud_opacity,period_end,Period
536,536,509,464,861,820,861,72,30,57,83,6,2020-07-08T00:30:00Z,PT30M
428,428,407,360,806,767,806,68,29,63,79,7,2020-07-08T01:00:00Z,PT30M
319,319,303,266,741,729,741,53,28,70,76,6,2020-07-08T01:30:00Z,PT30M
212,212,202,167,637,629,637,46,27,76,72,4,2020-07-08T02:00:00Z,PT30M
112,112,106,71,406,375,409,40,26,81,69,2,2020-07-08T02:30:00Z,PT30M
33,34,32,15,94,84,94,18,24,87,65,0,2020-07-08T03:00:00Z,PT30M
3,3,3,1,6,6,6,2,23,93,60,0,2020-07-08T03:30:00Z,PT30M
0,0,0,0,0,0,0,0,23,98,56,0,2020-07-08T04:00:00Z,PT30M
0,0,0,0,0,0,0,0,22,103,51,0,2020-07-08T04:30:00Z,PT30M
0,0,0,0,0,0,0,0,22,108,46,0,2020-07-08T05:00:00Z,PT30M
0,0,0,0,0,0,0,0,21,112,40,0,2020-07-08T05:30:00Z,PT30M
0,0,0,0,0,0,0,0,21,116,34,0,2020-07-08T06:00:00Z,PT30M
0,0,0,0,0,0,0,0,21,119,27,0,2020-07-08T06:30:00Z,PT30M
0,0,0,0,0,0,0,0,20,121,19,0,2020-07-08T07:00:00Z,PT30M
0,0,0,0,0,0,0,0,20,123,11,0,2020-07-08T07:30:00Z,PT30M
0,0,0,0,0,0,0,0,20,124,3,0,2020-07-08T08:00:00Z,PT30M
0,0,0,0,0,0,0,0,20,124,-5,0,2020-07-08T08:30:00Z,PT30M
0,0,0,0,0,0,0,0,18,123,-13,0,2020-07-08T09:00:00Z,PT30M
0,0,0,0,0,0,0,0,18,121,-21,0,2020-07-08T09:30:00Z,PT30M
0,0,0,0,0,0,0,0,18,118,-29,0,2020-07-08T10:00:00Z,PT30M
0,0,0,0,0,0,0,0,18,115,-35,0,2020-07-08T10:30:00Z,PT30M
0,0,0,0,0,0,0,0,17,111,-42,0,2020-07-08T11:00:00Z,PT30M
0,0,0,0,0,0,0,0,17,106,-47,0,2020-07-08T11:30:00Z,PT30M
0,0,0,0,0,0,0,0,17,102,-53,0,2020-07-08T12:00:00Z,PT30M
0,0,0,0,0,0,0,0,17,97,-57,0,2020-07-08T12:30:00Z,PT30M
0,0,0,0,0,0,0,0,17,91,-62,0,2020-07-08T13:00:00Z,PT30M
48,48,46,23,135,112,135,25,18,86,-66,0,2020-07-08T13:30:00Z,PT30M
139,139,132,87,501,409,501,52,21,80,-70,0,2020-07-08T14:00:00Z,PT30M
243,243,231,176,639,537,639,67,22,74,-73,0,2020-07-08T14:30:00Z,PT30M
352,352,334,277,739,627,739,75,23,68,-77,0,2020-07-08T15:00:00Z,PT30M
462,462,439,383,816,700,816,79,24,62,-81,0,2020-07-08T15:30:00Z,PT30M
568,568,540,486,869,751,869,82,25,56,-84,0,2020-07-08T16:00:00Z,PT30M
669,669,635,571,870,750,870,98,25,49,-88,0,2020-07-08T16:30:00Z,PT30M
762,762,724,664,907,788,907,99,26,43,-92,0,2020-07-08T17:00:00Z,PT30M
846,846,804,745,933,810,933,100,27,37,-97,0,2020-07-08T17:30:00Z,PT30M
917,917,871,814,950,826,950,104,27,31,-103,0,2020-07-08T18:00:00Z,PT30M
976,976,927,866,956,831,956,110,28,25,-110,0,2020-07-08T18:30:00Z,PT30M
1022,1022,971,907,959,833,959,115,28,19,-121,0,2020-07-08T19:00:00Z,PT30M
1050,1051,997,930,958,833,960,120,28,14,-139,0,2020-07-08T19:30:00Z,PT30M
1063,1065,1009,946,966,840,969,117,29,12,-167,0,2020-07-08T20:00:00Z,PT30M
1061,1063,1008,944,964,840,966,117,29,12,158,0,2020-07-08T20:30:00Z,PT30M
1044,1044,993,935,973,848,973,110,29,16,133,0,2020-07-08T21:00:00Z,PT30M
1011,1011,960,907,973,849,973,104,29,21,118,0,2020-07-08T21:30:00Z,PT30M
964,964,916,862,959,837,959,102,29,26,108,0,2020-07-08T22:00:00Z,PT30M
900,900,856,804,947,828,947,97,29,32,101,0,2020-07-08T22:30:00Z,PT30M
826,826,785,743,954,837,954,83,29,39,96,0,2020-07-08T23:00:00Z,PT30M
728,739,691,631,892,771,935,97,29,45,91,2,2020-07-08T23:30:00Z,PT30M
620,644,588,510,810,690,900,110,28,51,87,4,2020-07-09,PT30M
513,540,486,403,742,624,856,108,28,57,83,5,2020-07-09T00:30:00Z,PT30M
407,428,385,299,659,546,769,108,28,63,80,6,2020-07-09T01:00:00Z,PT30M
306,322,290,230,672,564,759,75,27,70,76,5,2020-07-09T01:30:00Z,PT30M
207,215,197,148,612,513,662,59,26,76,72,4,2020-07-09T02:00:00Z,PT30M
110,112,105,59,347,282,371,51,25,81,69,2,2020-07-09T02:30:00Z,PT30M
27,27,26,8,47,41,47,18,23,87,65,0,2020-07-09T03:00:00Z,PT30M
0,0,0,0,0,0,0,0,22,93,61,0,2020-07-09T03:30:00Z,PT30M
0,0,0,0,0,0,0,0,21,98,56,0,2020-07-09T04:00:00Z,PT30M
0,0,0,0,0,0,0,0,21,103,51,0,2020-07-09T04:30:00Z,PT30M
0,0,0,0,0,0,0,0,20,108,46,0,2020-07-09T05:00:00Z,PT30M
0,0,0,0,0,0,0,0,20,112,40,0,2020-07-09T05:30:00Z,PT30M
0,0,0,0,0,0,0,0,18,116,34,0,2020-07-09T06:00:00Z,PT30M
0,0,0,0,0,0,0,0,18,119,27,0,2020-07-09T06:30:00Z,PT30M
0,0,0,0,0,0,0,0,18,121,19,0,2020-07-09T07:00:00Z,PT30M
0,0,0,0,0,0,0,0,18,123,11,0,2020-07-09T07:30:00Z,PT30M
0,0,0,0,0,0,0,0,17,124,3,0,2020-07-09T08:00:00Z,PT30M
0,0,0,0,0,0,0,0,17,124,-5,0,2020-07-09T08:30:00Z,PT30M
0,0,0,0,0,0,0,0,17,123,-13,0,2020-07-09T09:00:00Z,PT30M
0,0,0,0,0,0,0,0,17,121,-21,0,2020-07-09T09:30:00Z,PT30M
0,0,0,0,0,0,0,0,17,118,-29,0,2020-07-09T10:00:00Z,PT30M
