Latitude (decimal degrees):	33.651
Longitude (decimal degrees):	-117.710
Elevation (m):	113
Radiation database:	PVGIS-NSRDB


Slope: 34 deg. (optimum)
Azimuth: 9 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	100.0
System losses (%):	14.0
time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20150101:0000,29662.0,276.94,80.62,2.1,8.61,10.76,2.54,0.0
20150101:0100,0.0,0.0,0.0,0.0,0.0,10.78,2.21,0.0
20150101:0200,0.0,0.0,0.0,0.0,0.0,10.81,1.89,0.0
20150101:0300,0.0,0.0,0.0,0.0,0.0,10.83,1.56,0.0
20150101:0400,0.0,0.0,0.0,0.0,0.0,11.0,1.32,0.0
20150101:0500,0.0,0.0,0.0,0.0,0.0,11.17,1.08,0.0
20150101:0600,0.0,0.0,0.0,0.0,0.0,11.34,0.84,0.0
20150101:0700,0.0,0.0,0.0,0.0,0.0,11.43,1.16,0.0
20150101:0800,0.0,0.0,0.0,0.0,0.0,11.52,1.49,0.0
20150101:0900,0.0,0.0,0.0,0.0,0.0,11.6,1.81,0.0
20150101:1000,0.0,0.0,0.0,0.0,0.0,11.48,1.85,0.0
20150101:1100,0.0,0.0,0.0,0.0,0.0,11.36,1.89,0.0
20150101:1200,0.0,0.0,0.0,0.0,0.0,11.24,1.93,0.0
20150101:1300,0.0,0.0,0.0,0.0,0.0,11.04,1.93,0.0
20150101:1400,0.0,0.0,0.0,0.0,0.0,10.83,1.93,0.0
20150101:1500,0.0,0.0,0.0,0.0,0.0,10.62,1.93,0.0
20150101:1600,25889.0,250.62,73.63,2.75,10.55,11.03,1.44,0.0
20150101:1700,48397.0,488.47,98.36,5.8,19.79,11.45,0.95,0.0
20150101:1800,63521.0,680.14,111.43,8.25,27.15,11.86,0.46,0.0
20150101:1900,73850.0,807.96,118.85,9.76,31.89,12.02,1.09,0.0
20150101:2000,78517.0,859.04,123.32,10.21,33.32,12.17,1.71,0.0
20150101:2100,77286.0,830.79,123.51,9.54,31.22,12.32,2.34,0.0
20150101:2200,68840.0,723.46,117.95,7.82,25.92,12.28,2.1,0.0
20150101:2300,53621.0,538.07,108.07,5.22,18.15,12.24,1.86,0.0
20150102:0000,29591.0,280.46,80.35,2.13,8.75,12.2,1.61,0.0
20150102:0100,0.0,0.0,0.0,0.0,0.0,11.99,1.7,0.0
20150102:0200,0.0,0.0,0.0,0.0,0.0,11.77,1.78,0.0
20150102:0300,0.0,0.0,0.0,0.0,0.0,11.56,1.86,0.0
20150102:0400,0.0,0.0,0.0,0.0,0.0,11.49,1.73,0.0
20150102:0500,0.0,0.0,0.0,0.0,0.0,11.43,1.6,0.0
20150102:0600,0.0,0.0,0.0,0.0,0.0,11.36,1.46,0.0
20150102:0700,0.0,0.0,0.0,0.0,0.0,11.3,1.52,0.0
20150102:0800,0.0,0.0,0.0,0.0,0.0,11.24,1.57,0.0
20150102:0900,0.0,0.0,0.0,0.0,0.0,11.18,1.63,0.0
20150102:1000,0.0,0.0,0.0,0.0,0.0,11.06,1.37,0.0
20150102:1100,0.0,0.0,0.0,0.0,0.0,10.94,1.1,0.0
20150102:1200,0.0,0.0,0.0,0.0,0.0,10.81,0.84,0.0
20150102:1300,0.0,0.0,0.0,0.0,0.0,10.7,0.97,0.0
20150102:1400,0.0,0.0,0.0,0.0,0.0,10.59,1.1,0.0
20150102:1500,0.0,0.0,0.0,0.0,0.0,10.48,1.23,0.0
20150102:1600,24875.0,241.28,71.06,2.66,10.53,10.97,1.29,0.0
20150102:1700,47389.0,475.06,95.91,5.67,19.8,11.46,1.36,0.0
20150102:1800,63482.0,665.59,110.55,8.11,27.18,11.94,1.42,0.0
20150102:1900,73548.0,795.06,118.1,9.65,31.95,12.13,1.57,0.0
20150102:2000,77518.0,845.79,122.52,10.09,33.41,12.32,1.72,0.0
20150102:2100,75769.0,820.3,121.24,9.44,31.33,12.51,1.88,0.0
20150102:2200,67804.0,711.97,116.92,7.73,26.05,12.48,2.03,0.0
20150102:2300,52954.0,528.94,106.82,5.17,18.28,12.44,2.19,0.0
20150103:0000,29310.0,277.12,79.07,2.13,8.88,12.41,2.34,0.0
20150103:0100,0.0,0.0,0.0,0.0,0.0,12.05,1.79,0.0
20150103:0200,0.0,0.0,0.0,0.0,0.0,11.68,1.23,0.0
20150103:0300,0.0,0.0,0.0,0.0,0.0,11.32,0.68,0.0
20150103:0400,0.0,0.0,0.0,0.0,0.0,11.33,0.81,0.0
20150103:0500,0.0,0.0,0.0,0.0,0.0,11.33,0.95,0.0
20150103:0600,0.0,0.0,0.0,0.0,0.0,11.34,1.09,0.0
20150103:0700,0.0,0.0,0.0,0.0,0.0,11.33,0.99,0.0
20150103:0800,0.0,0.0,0.0,0.0,0.0,11.32,0.89,0.0
20150103:0900,0.0,0.0,0.0,0.0,0.0,11.3,0.79,0.0
20150103:1000,0.0,0.0,0.0,0.0,0.0,11.19,0.91,0.0
20150103:1100,0.0,0.0,0.0,0.0,0.0,11.08,1.04,0.0
20150103:1200,0.0,0.0,0.0,0.0,0.0,10.97,1.17,0.0
