Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,79790,-,-,-,33.65,-117.7,-8,146,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed
2015,1,1,0,0,6,0,0,0,0,-4,0,0,0,0,48.65,169.28,0.14300000000000002,1000,0.497,257.7,1.1
2015,1,1,0,30,6,0,0,0,4,-4,0,0,0,0,48.660000000000004,166.77,0.14300000000000002,1000,0.488,257.7,1.1
2015,1,1,1,0,6,0,0,0,1,-4,0,0,0,0,49.58,162.07,0.14300000000000002,1000,0.47900000000000004,257.3,1.1
2015,1,1,1,30,5,0,0,0,1,-4,0,0,0,0,53.17,156.46,0.14300000000000002,1000,0.47000000000000003,257.3,1
2015,1,1,2,0,5,0,0,0,1,-4,0,0,0,0,53.83,150.48,0.14300000000000002,1000,0.462,253.20000000000002,1
2015,1,1,2,30,5,0,0,0,0,-4,0,0,0,0,53.83,144.33,0.14300000000000002,1000,0.457,253.20000000000002,0.9
2015,1,1,3,0,5,0,0,0,1,-4,0,0,0,0,54.04,138.11,0.14300000000000002,1000,0.452,250.60000000000002,0.9
2015,1,1,3,30,5,0,0,0,1,-4,0,0,0,0,54.050000000000004,131.87,0.14300000000000002,1000,0.451,250.60000000000002,0.8
2015,1,1,4,0,5,0,0,0,1,-4,0,0,0,0,53.93,125.65,0.14300000000000002,1000,0.45,255.8,0.8
2015,1,1,4,30,5,0,0,0,4,-4,0,0,0,0,53.95,119.46000000000001,0.14300000000000002,1000,0.449,255.8,0.6000000000000001
2015,1,1,5,0,5,0,0,0,1,-4,0,0,0,0,53.29,113.34,0.14300000000000002,1000,0.448,258.8,0.5
2015,1,1,5,30,5,0,0,0,3,-4,0,0,0,0,53.31,107.3,0.14300000000000002,1000,0.447,258.8,0.4
2015,1,1,6,0,5,0,0,0,3,-4,0,0,0,0,52.17,101.38,0.14300000000000002,1000,0.447,238.9,0.30000000000000004
2015,1,1,6,30,5,0,0,0,4,-4,0,0,0,0,52.19,95.59,0.14300000000000002,1000,0.449,238.9,0.2
2015,1,1,7,0,6,0,0,0,4,-4,0,0,0,0,51.71,89.98,0.14300000000000002,1000,0.452,126.80000000000001,0.2
2015,1,1,7,30,7,28,458,71,0,-4,28,458,0,71,48.26,84.58,0.14300000000000002,1000,0.459,126.80000000000001,0.5
2015,1,1,8,0,8,43,645,161,0,-3,43,645,0,161,48.27,79.44,0.14300000000000002,1000,0.467,93.5,0.9
2015,1,1,8,30,9,53,754,253,0,-3,53,754,0,253,45.1,74.63,0.14300000000000002,1000,0.47900000000000004,93.5,0.8
2015,1,1,9,0,10,61,823,340,0,-4,61,823,0,340,37.85,70.2,0.14300000000000002,1000,0.491,84.80000000000001,0.7000000000000001
2015,1,1,9,30,11,66,871,417,0,-4,66,871,0,417,35.39,66.23,0.14300000000000002,1000,0.503,84.80000000000001,0.5
2015,1,1,10,0,12,72,899,482,0,-5,72,899,0,482,29.86,62.83,0.14300000000000002,1000,0.516,15.8,0.30000000000000004
2015,1,1,10,30,12,75,921,534,0,-5,75,921,0,534,29.85,60.08,0.14300000000000002,1000,0.526,15.8,0.4
2015,1,1,11,0,13,77,933,571,0,-6,77,933,0,571,26.88,58.08,0.14300000000000002,1000,0.536,316.5,0.6000000000000001
2015,1,1,11,30,13,79,941,593,0,-6,79,941,0,593,26.87,56.92,0.14300000000000002,1000,0.54,316.5,0.7000000000000001
2015,1,1,12,0,13,79,943,598,0,-6,79,943,1,598,26.63,56.64,0.14300000000000002,1000,0.545,298.5,0.8
2015,1,1,12,30,13,79,938,587,0,-6,79,938,0,587,26.62,57.25,0.14300000000000002,1000,0.546,298.5,0.9
2015,1,1,13,0,14,78,925,559,0,-6,78,925,0,559,27.25,58.730000000000004,0.14300000000000002,1000,0.547,280.40000000000003,1.1
2015,1,1,13,30,13,76,907,515,0,-6,76,907,0,515,27.25,61.01,0.14300000000000002,1000,0.55,280.40000000000003,1.2000000000000002
2015,1,1,14,0,13,72,879,458,0,-5,72,879,0,458,28.900000000000002,64.02,0.14300000000000002,1000,0.553,275.2,1.4000000000000001
2015,1,1,14,30,13,68,839,387,0,-5,68,839,0,387,30.88,67.64,0.14300000000000002,1000,0.561,275.2,1.4000000000000001
2015,1,1,15,0,13,61,780,305,0,-3,61,780,0,305,37.01,71.78,0.14300000000000002,1000,0.5690000000000001,268.3,1.5
2015,1,1,15,30,11,53,694,216,0,-3,53,694,0,216,39.56,76.37,0.14300000000000002,1000,0.58,268.3,1.5
2015,1,1,16,0,10,40,555,124,0,0,40,555,0,124,51.34,81.31,0.14300000000000002,1000,0.591,262.1,1.6
2015,1,1,16,30,9,21,314,40,0,0,21,314,0,40,54.94,86.55,0.14300000000000002,1000,0.602,262.1,1.6
2015,1,1,17,0,9,0,0,0,0,-1,0,0,0,0,52.980000000000004,92.03,0.14300000000000002,1000,0.614,270.3,1.6
2015,1,1,17,30,9,0,0,0,0,-1,0,0,0,0,52.99,97.71000000000001,0.14300000000000002,1000,0.624,270.3,1.4000000000000001
2015,1,1,18,0,9,0,0,0,0,-1,0,0,0,0,52.89,103.55,0.14300000000000002,1000,0.634,287.8,1.2000000000000002
