,class,clds,day_ind,dewpt,dow,expire_time_gmt,fcst_valid,fcst_valid_local,feels_like,golf_category,golf_index,gust,hi,icon_code,icon_extd,mslp,num,phrase_12char,phrase_22char,phrase_32char,pop,precip_type,qpf,rh,severity,snow_qpf,subphrase_pt1,subphrase_pt2,subphrase_pt3,temp,uv_desc,uv_index,uv_index_raw,uv_warning,vis,wc,wdir,wdir_cardinal,wspd,wxman
0,fod_short_range_hourly,41,N,17,Friday,1600972589,1600974000,2020-09-25T03:00:00+0800,18,,,,18,29,2900,1014.1,1,P Cloudy,Partly Cloudy,Partly Cloudy,3,rain,0.0,93,1,0.0,Partly,Cloudy,,18,Low,0,0.0,0,12.0,18,92,E,4,wx1600
1,fod_short_range_hourly,40,N,17,Friday,1600972589,1600977600,2020-09-25T04:00:00+0800,18,,,,18,29,2900,1014.25,2,P Cloudy,Partly Cloudy,Partly Cloudy,3,rain,0.0,96,1,0.0,Partly,Cloudy,,18,Low,0,0.0,0,10.0,18,89,E,4,wx1600
2,fod_short_range_hourly,49,N,17,Friday,1600972589,1600981200,2020-09-25T05:00:00+0800,17,,,,17,29,2900,1014.6,3,P Cloudy,Partly Cloudy,Partly Cloudy,3,rain,0.0,96,1,0.0,Partly,Cloudy,,17,Low,0,0.0,0,10.0,17,84,E,4,wx1600
3,fod_short_range_hourly,63,N,17,Friday,1600972589,1600984800,2020-09-25T06:00:00+0800,17,,,,17,27,2700,1014.87,4,M Cloudy,Mostly Cloudy,Mostly Cloudy,3,rain,0.0,97,1,0.0,Mostly,Cloudy,,17,Low,0,0.0,0,10.0,17,97,E,3,wx1200
4,fod_short_range_hourly,68,D,18,Friday,1600972589,1600988400,2020-09-25T07:00:00+0800,19,Very Good,9.0,,19,28,2800,1015.3,5,M Cloudy,Mostly Cloudy,Mostly Cloudy,3,rain,0.0,94,1,0.0,Mostly,Cloudy,,19,Low,0,0.2,0,13.0,19,109,ESE,4,wx1200
5,fod_short_range_hourly,73,D,18,Friday,1600972589,1600992000,2020-09-25T08:00:00+0800,21,Excellent,10.0,,21,28,2800,1015.52,6,M Cloudy,Mostly Cloudy,Mostly Cloudy,4,rain,0.0,85,1,0.0,Mostly,Cloudy,,21,Low,1,1.03,0,16.0,21,121,ESE,5,wx1200
6,fod_short_range_hourly,81,D,18,Friday,1600972589,1600995600,2020-09-25T09:00:00+0800,23,Excellent,10.0,,23,26,2600,1015.7,7,Cloudy,Cloudy,Cloudy,8,rain,0.0,73,1,0.0,Cloudy,,,23,Low,2,1.98,0,16.0,23,141,SE,4,wx1200
7,fod_long_range_hourly,83,D,17,Friday,1600973789,1600999200,2020-09-25T10:00:00+0800,25,Excellent,10.0,,25,26,2600,1015.8,8,Cloudy,Cloudy,Cloudy,14,rain,0.0,66,1,0.0,Cloudy,,,24,Moderate,3,3.34,0,16.0,24,143,SE,5,wx1200
8,fod_long_range_hourly,86,D,17,Friday,1600973789,1601002800,2020-09-25T11:00:00+0800,27,Very Good,9.0,,27,26,2600,1015.6,9,Cloudy,Cloudy,Cloudy,13,rain,0.0,61,1,0.0,Cloudy,,,25,Moderate,4,4.47,0,16.0,25,90,E,5,wx1200
9,fod_long_range_hourly,88,D,17,Friday,1600973789,1601006400,2020-09-25T12:00:00+0800,27,Very Good,9.0,,27,26,2600,1015.1,10,Cloudy,Cloudy,Cloudy,8,rain,0.0,56,1,0.0,Cloudy,,,26,Moderate,3,3.39,0,16.0,26,37,NE,5,wx1200
10,fod_long_range_hourly,89,D,16,Friday,1600973789,1601010000,2020-09-25T13:00:00+0800,28,Very Good,9.0,,28,26,2600,1014.4,11,Cloudy,Cloudy,Cloudy,8,rain,0.0,54,1,0.0,Cloudy,,,26,Moderate,3,3.13,0,16.0,26,46,NE,6,wx1200
11,fod_long_range_hourly,91,D,16,Friday,1600973789,1601013600,2020-09-25T14:00:00+0800,28,Very Good,9.0,,28,26,2600,1013.8,12,Cloudy,Cloudy,Cloudy,6,rain,0.0,53,1,0.0,Cloudy,,,27,Low,2,2.39,0,16.0,27,25,NNE,6,wx1200
12,fod_long_range_hourly,92,D,16,Friday,1600973789,1601017200,2020-09-25T15:00:00+0800,27,Very Good,9.0,,27,26,2600,1013.5,13,Cloudy,Cloudy,Cloudy,5,rain,0.0,54,1,0.0,Cloudy,,,26,Low,1,1.46,0,16.0,26,24,NNE,6,wx1200
13,fod_long_range_hourly,90,D,16,Friday,1600973789,1601020800,2020-09-25T16:00:00+0800,27,Very Good,9.0,,27,26,2600,1013.5,14,Cloudy,Cloudy,Cloudy,6,rain,0.0,55,1,0.0,Cloudy,,,26,Low,1,0.63,0,16.0,26,21,NNE,6,wx1200
14,fod_long_range_hourly,90,D,17,Friday,1600973789,1601024400,2020-09-25T17:00:00+0800,27,Very Good,9.0,,27,26,2600,1013.8,15,Cloudy,Cloudy,Cloudy,1,rain,0.0,61,1,0.0,Cloudy,,,25,Low,0,0.14,0,16.0,25,24,NNE,5,wx1200
15,fod_long_range_hourly,90,D,17,Friday,1600973789,1601028000,2020-09-25T18:00:00+0800,24,Excellent,10.0,,24,26,2600,1014.2,16,Cloudy,Cloudy,Cloudy,3,rain,0.0,68,1,0.0,Cloudy,,,24,Low,0,0.06,0,16.0,24,45,NE,5,wx1200
16,fod_long_range_hourly,85,N,18,Friday,1600973789,1601031600,2020-09-25T19:00:00+0800,23,,,,23,26,2600,1014.7,17,Cloudy,Cloudy,Cloudy,6,rain,0.0,76,1,0.0,Cloudy,,,23,Low,0,0.0,0,16.0,23,77,ENE,5,wx1200
17,fod_long_range_hourly,88,N,18,Friday,1600973789,1601035200,2020-09-25T20:00:00+0800,22,,,,22,26,2600,1015.17,18,Cloudy,Cloudy,Cloudy,7,rain,0.0,81,1,0.0,Cloudy,,,22,Low,0,0.0,0,16.0,22,89,E,5,wx1200
18,fod_long_range_hourly,87,N,19,Friday,1600973789,1601038800,2020-09-25T21:00:00+0800,22,,,,22,26,2600,1015.5,19,Cloudy,Cloudy,Cloudy,7,rain,0.0,86,1,0.0,Cloudy,,,21,Low,0,0.0,0,15.0,21,82,E,5,wx1200
19,fod_long_range_hourly,88,N,19,Friday,1600973789,1601042400,2020-09-25T22:00:00+0800,21,,,,21,26,2600,1015.62,20,Cloudy,Cloudy,Cloudy,7,rain,0.0,88,1,0.0,Cloudy,,,21,Low,0,0.0,0,15.0,21,85,E,4,wx1200
20,fod_long_range_hourly,87,N,18,Friday,1600973789,1601046000,2020-09-25T23:00:00+0800,21,,,,21,26,2600,1015.77,21,Cloudy,Cloudy,Cloudy,9,rain,0.0,88,1,0.0,Cloudy,,,20,Low,0,0.0,0,15.0,20,78,ENE,5,wx1200
21,fod_long_range_hourly,85,N,18,Saturday,1600973789,1601049600,2020-09-26T00:00:00+0800,21,,,,21,26,2600,1015.8,22,Cloudy,Cloudy,Cloudy,9,rain,0.0,90,1,0.0,Cloudy,,,20,Low,0,0.0,0,14.0,20,85,E,5,wx1200
22,fod_long_range_hourly,82,N,18,Saturday,1600973789,1601053200,2020-09-26T01:00:00+0800,20,,,,20,26,2600,1015.7,23,Cloudy,Cloudy,Cloudy,7,rain,0.0,93,1,0.0,Cloudy,,,20,Low,0,0.0,0,12.0,20,85,E,3,wx1200
23,fod_long_range_hourly,77,N,18,Saturday,1600973789,1601056800,2020-09-26T02:00:00+0800,20,,,,20,27,2700,1015.57,24,M Cloudy,Mostly Cloudy,Mostly Cloudy,11,rain,0.0,96,1,0.0,Mostly,Cloudy,,19,Low,0,0.0,0,10.0,19,72,ENE,4,wx1200
24,fod_long_range_hourly,72,N,18,Saturday,1600973789,1601060400,2020-09-26T03:00:00+0800,20,,,,20,27,2700,1015.4,25,M Cloudy,Mostly Cloudy,Mostly Cloudy,12,rain,0.0,96,1,0.0,Mostly,Cloudy,,19,Low,0,0.0,0,9.0,19,57,NE,4,wx1200
25,fod_long_range_hourly,62,N,18,Saturday,1600973789,1601064000,2020-09-26T04:00:00+0800,19,,,,19,27,2700,1015.5,26,M Cloudy,Mostly Cloudy,Mostly Cloudy,12,rain,0.0,98,1,0.0,Mostly,Cloudy,,19,Low,0,0.0,0,8.0,19,56,NE,4,wx1200
26,fod_long_range_hourly,52,N,18,Saturday,1600973789,1601067600,2020-09-26T05:00:00+0800,18,,,,18,29,2900,1015.8,27,P Cloudy,Partly Cloudy,Partly Cloudy,13,rain,0.0,100,1,0.0,Partly,Cloudy,,18,Low,0,0.0,0,8.0,18,59,ENE,5,wx1600
27,fod_long_range_hourly,45,N,18,Saturday,1600973789,1601071200,2020-09-26T06:00:00+0800,18,,,,18,29,2900,1016.2,28,P Cloudy,Partly Cloudy,Partly Cloudy,12,rain,0.0,100,1,0.0,Partly,Cloudy,,18,Low,0,0.0,0,9.0,18,66,ENE,5,wx1600
28,fod_long_range_hourly,41,D,18,Saturday,1600973789,1601074800,2020-09-26T07:00:00+0800,20,Very Good,9.0,,20,30,3000,1016.67,29,P Cloudy,Partly Cloudy,Partly Cloudy,12,rain,0.0,97,1,0.0,Partly,Cloudy,,19,Low,0,0.25,0,11.0,19,71,ENE,7,wx1100
